key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
#,,,,,,,,,,,,,,,,,,,,,,
int32,str,byte,uint16,uint16,byte,bit&01,byte,uint16,uint16,uint16,uint16,uint16,uint16,uint16,byte,byte,uint16,uint16,byte,uint16,uint16,uint16
0,"",0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1," 汎用繊維板の製作",17,9,0,0,False,1,0,1,1200,2400,143,0,0,0,0,0,50,1,2,0,0
2," 拠点外活動用の燃料調達",20,9,0,0,False,1,0,2,1200,2400,144,0,0,0,0,0,51,1,3,0,0
3," 採集用アクセサリの製作",22,9,0,0,False,1,0,3,1200,2400,145,0,0,0,0,0,52,1,4,0,0
4," 研究用必須素材の調達",29,9,0,0,False,1,0,4,1200,2400,146,0,0,0,0,0,53,1,5,0,0
5," 木炭の長持続化検証",20,9,0,0,False,1,0,5,1200,2400,147,0,0,0,0,0,54,1,6,0,0
6," 汎用寝具の製作",19,9,0,0,False,1,0,6,1200,2400,148,0,0,0,0,0,55,1,7,0,0
7," 薄型繊維板の製作",17,9,0,0,False,2,0,7,1200,2400,149,0,0,0,0,0,56,1,8,0,0
8," 木工師用支援物資の製作",20,9,0,0,False,2,0,8,1200,2400,150,0,0,0,0,0,57,1,9,0,0
9," 作業員用裁縫道具の調達",26,9,0,3,False,2,0,9,1300,3000,151,0,0,0,0,0,58,1,10,0,0
10," データ記入用紙の製作",18,9,0,3,False,2,0,10,700,1500,152,0,0,0,0,0,59,1,11,0,0
11," 断熱内装材の製作",19,9,0,3,False,2,0,11,1100,2500,153,0,0,0,0,0,60,1,12,0,0
12," コスモライナー用の基本資材調達",28,9,0,3,False,2,0,12,1200,2250,154,0,0,0,0,0,61,1,13,0,0
13," 新素材を用いたイヤリング製作",22,9,0,3,False,2,0,13,700,1500,155,0,0,0,0,0,62,1,14,0,0
14," 補給用容器の製作",20,9,0,0,False,3,0,14,1600,2400,156,0,0,0,0,0,63,1,15,0,0
15," 厚型繊維板の製作",17,9,0,0,False,3,0,15,1600,2400,157,0,0,0,0,0,64,1,16,0,0
16," 高品質断熱材の製作",19,9,0,3,False,3,0,16,1700,2000,158,0,0,0,0,0,65,1,17,0,0
17," 耐熱性樹脂の製作",31,9,0,3,False,3,0,17,2700,3000,159,0,0,0,0,0,66,1,18,0,0
18," 長期保存用紙の製作",18,9,0,0,False,3,0,18,1600,2400,160,0,0,0,0,0,67,1,19,0,0
19," 居住区用椅子の製作",30,9,0,3,False,3,0,19,2700,3000,161,0,0,0,0,0,68,1,20,0,0
20," 試験素材を用いた採集道具製作",22,9,0,0,False,3,0,20,1000,1300,162,0,0,0,0,0,69,1,21,0,0
21," 休憩用高品質ベッドの製作",24,9,0,0,False,3,0,21,1000,1300,163,0,0,0,0,0,70,1,22,0,0
22,"高耐久繊維板の製作",17,9,0,0,False,4,1200,22,1800,2400,164,0,0,0,0,0,71,0,23,0,1200
23,"最高級紙の製作",18,9,0,3,False,4,1200,23,2300,3000,165,0,0,0,0,0,72,0,24,0,1200
24,"宇宙船用の断熱材調達",19,9,0,3,False,4,0,24,700,1000,166,0,0,0,0,0,73,0,25,0,1200
25,"高火力木炭の製作",20,9,0,3,False,4,1200,25,700,1000,167,0,0,0,0,0,74,0,26,0,1200
26,"月面植物の加工検証",21,9,0,3,False,4,1200,26,2600,3000,168,0,0,0,0,0,75,0,27,0,1200
27,"EX：試験用素材の最終加工検証",22,9,0,3,False,5,1200,27,2500,3000,169,0,0,0,0,0,76,0,28,0,1100
28,"EX：配膳用トレイの製作",23,9,0,3,False,5,1200,28,840,1000,170,0,0,0,0,0,77,0,29,0,1100
29,"EX：二段ベッドの製作",24,9,0,3,False,5,1200,29,840,1000,171,0,0,2,0,0,78,0,30,0,1100
30,"EX：作業補助設備の製作",25,9,0,3,False,5,1200,30,2800,3000,172,0,0,1,13,0,79,0,31,0,1100
31,"EX+：高品質製作道具の補充",26,9,0,0,False,6,420,31,560,880,173,0,0,0,14,0,80,0,32,0,1000
32,"EX+：高所用昇降台の製作",27,9,0,0,False,6,330,32,560,880,174,0,0,0,13,0,81,0,33,0,1000
33,"動力伝達用シャフトの製作",28,9,0,3,False,4,1200,33,2300,3000,175,0,0,0,0,0,82,0,34,0,1200
34,"EX：続・動力伝達用シャフトの製作",28,9,0,3,False,5,1200,34,2500,3000,176,0,0,0,0,33,83,0,35,0,1100
35,"性質特化素材の調達",29,9,0,0,False,4,1200,35,1000,1600,177,0,0,0,0,0,84,0,36,0,1200
36,"EX：続・性質特化素材の調達",29,9,0,0,False,5,1200,36,1000,1600,178,0,0,0,0,35,85,0,37,0,1100
37,"EX+：研究用大型水槽の製作",29,9,0,0,False,6,300,37,1000,1600,179,0,0,0,0,36,86,0,38,0,1000
38,"EX：休憩施設用素材の製作",30,9,0,3,False,5,1200,38,850,1000,180,0,0,0,0,0,87,0,39,0,1100
39,"EX+：休憩施設用調度品の製作",30,9,0,3,False,6,240,39,900,1000,181,0,0,2,0,38,88,0,40,0,1000
40,"貨物梱包素材の製作",31,9,0,3,False,4,1200,40,2300,3000,182,0,0,0,1,0,89,0,41,0,1200
41,"EX：続・貨物梱包素材の製作",31,9,0,3,False,5,1200,41,2500,3000,183,0,0,1,0,40,90,0,42,0,1100
42,"EX+：ローバー用貨物梱包材の製作",31,9,0,3,False,6,270,42,2700,3000,184,0,0,2,0,41,91,0,43,0,1000
43,"EX+：バイオ燃料の製作",32,9,0,3,False,6,600,43,980,1080,185,0,0,1,7,0,92,0,44,0,1000
44,"EX+：続・バイオ燃料の製作",32,9,0,3,False,6,600,44,980,1080,186,0,0,1,0,43,93,0,45,0,1000
45,"EX+：バイオ燃料の製作・最終工程",32,9,0,0,False,6,420,45,1000,1080,187,0,0,1,0,44,94,0,46,0,1000
46," 汎用装甲板の製作",1,10,0,0,False,1,0,46,1200,2400,188,0,0,0,0,0,95,1,47,0,0
47," 宇宙船用の予備部品製作",14,10,0,0,False,1,0,47,1200,2400,189,0,0,0,0,0,96,1,48,0,0
48," 合金製作の検証",2,10,0,0,False,1,0,48,1200,2400,190,0,0,0,0,0,97,1,49,0,0
49," 初級カスタマイズ部品の製作",15,10,0,0,False,1,0,49,1200,2400,191,0,0,0,0,0,98,1,50,0,0
50," 汎用金属部品の製作",3,10,0,0,False,1,0,50,1200,2400,192,0,0,0,0,0,99,1,51,0,0
51," 必需品の大量生産",3,10,0,0,False,1,0,51,1200,2400,193,0,0,0,0,0,100,1,52,0,0
52," 規格厚型装甲板の製作",1,10,0,0,False,2,0,52,1200,2400,194,0,0,0,0,0,101,1,53,0,0
53," 宇宙船用の動力伝導軸",14,10,0,0,False,2,0,53,1200,2400,195,0,0,0,0,0,102,1,54,0,0
54," 作業員用砕岩道具の調達",4,10,0,3,False,2,0,54,1300,3000,196,0,0,0,0,0,103,1,55,0,0
55," 規格合金リベットの製作",3,10,0,3,False,2,0,55,700,1500,197,0,0,0,0,0,104,1,56,0,0
56," 作業員用木工道具の調達",4,10,0,3,False,2,0,56,1100,2500,198,0,0,0,0,0,105,1,57,0,0
57," 中級カスタマイズ部品の製作",15,10,0,3,False,2,0,57,1200,2250,199,0,0,0,0,0,106,1,58,0,0
58," 断熱設備の製作",9,10,0,3,False,2,0,58,700,1500,200,0,0,0,0,0,107,1,59,0,0
59," ローバー用の伝導軸製作",3,10,0,0,False,3,0,59,1600,2400,201,0,0,0,0,0,108,1,60,0,0
60," 規格薄型装甲板の製作",1,10,0,0,False,3,0,60,1600,2400,202,0,0,0,0,0,109,1,61,0,0
61," 作業員用冶金道具の調達",4,10,0,3,False,3,0,61,1700,2000,203,0,0,0,0,0,110,1,62,0,0
62," 入浴用調度品の製作",6,10,0,3,False,3,0,62,2700,3000,204,0,0,0,0,0,111,1,63,0,0
63," 青燐式移動ストーブの製作",9,10,0,0,False,3,0,63,1600,2400,205,0,0,0,0,0,112,1,64,0,0
64," 居住区用照明の製作",12,10,0,3,False,3,0,64,2700,3000,206,0,0,0,0,0,113,1,65,0,0
65," 月面産素材の道具加工依頼",4,10,0,0,False,3,0,65,1000,1300,207,0,0,0,0,0,114,1,66,0,0
66," 月面産素材の部品加工依頼",7,10,0,0,False,3,0,66,1000,1300,208,0,0,0,0,0,115,1,67,0,0
67,"重要施設用装甲板の製作",1,10,0,0,False,4,1200,67,1800,2400,209,0,0,0,0,0,116,0,68,0,2200
68,"希少素材の加工",2,10,0,3,False,4,1200,68,2300,3000,210,0,0,0,0,0,117,0,69,0,2200
69,"設備工事の必需品補充",3,10,0,3,False,4,0,69,700,1000,211,0,0,0,0,0,118,0,70,0,2200
70,"作業員用板金道具の調達依頼",4,10,0,3,False,4,1200,70,700,1000,212,0,0,0,0,0,119,0,71,0,2200
71,"隕鉄素材の加工検証",5,10,0,3,False,4,1200,71,2600,3000,213,0,0,0,0,0,120,0,72,0,2200
72,"EX：東方調度品の再現依頼",6,10,0,3,False,5,1200,72,2500,3000,214,0,0,0,0,0,121,0,73,0,2100
73,"EX：精密な素材加工",7,10,0,3,False,5,1200,73,840,1000,215,0,0,0,0,0,122,0,74,0,2100
74,"EX：ムーンゲート基地の備品補充",8,10,0,3,False,5,1200,74,840,1000,216,0,0,2,0,0,123,0,75,0,2100
75,"EX：作業補助設備の製作",9,10,0,3,False,5,1200,75,2800,3000,217,0,0,1,14,0,124,0,76,0,2100
76,"EX+：素材の高耐久化加工",10,10,0,0,False,6,420,76,560,880,218,0,0,0,13,0,125,0,77,0,2000
77,"EX+：素材の対衝撃化加工",11,10,0,0,False,6,330,77,560,880,219,0,0,0,14,0,126,0,78,0,2000
78,"基地内の家具備品製作",12,10,0,3,False,4,1200,78,2300,3000,220,0,0,0,0,0,127,0,79,0,2200
79,"EX：続・基地内の家具備品製作",12,10,0,3,False,5,1200,79,2500,3000,221,0,0,0,0,78,128,0,80,0,2100
80,"性質特化素材の調達",13,10,0,0,False,4,1200,80,1000,1600,222,0,0,0,0,0,129,0,81,0,2200
